========================================
Experiment: PD Controller + Point Mass
========================================

Simulation Parameters
---------------------
Target Position : 10.0 m
Simulation Time : 20.0 s
Time Step (dt) : 0.01 s

Controller
----------
Kp : 2.0
Kd : 2.0

Plant
-----
Mass : 1.0 kg

Observed Results
----------------
- Position slowly converges to target
- Once target is reached, it oscillates around the target as the force approaches 0
- Maximum observed position: 10
- PI control is very stable for point mass

Logs
----
time,position,velocity,controller_output
1.36, 6.99454, 5.00134, -3.99176
1.37, 7.04415, 4.96143, -4.01115
1.38, 7.09337, 4.92131, -4.02936
1.39, 7.14218, 4.88102, -4.04639
1.4, 7.19058, 4.84056, -4.06227
1.41, 7.23858, 4.79993, -4.07703
1.42, 7.28617, 4.75916, -4.09067
1.43, 7.33335, 4.71826, -4.10322
1.44, 7.38013, 4.67722, -4.1147
1.45, 7.42649, 4.63608, -4.12513
1.46, 7.47244, 4.59483, -4.13452
1.47, 7.51797, 4.55348, -4.1429
1.48, 7.56309, 4.51205, -4.15029
1.49, 7.6078, 4.47055, -4.15669
1.5, 7.65209, 4.42898, -4.16214
1.51, 7.69596, 4.38736, -4.16664
1.52, 7.73942, 4.34569, -4.17022
1.53, 7.78246, 4.30399, -4.1729
1.54, 7.82508, 4.26226, -4.17469
1.55, 7.86728, 4.22052, -4.1756
1.56, 7.90907, 4.17876, -4.17566
1.57, 7.95044, 4.137, -4.17489
1.58, 7.99139, 4.09525, -4.1733
1.59, 8.03193, 4.05352, -4.1709
1.6, 8.07205, 4.01181, -4.16772
1.61, 8.11175, 3.97014, -4.16377
1.62, 8.15103, 3.9285, -4.15906
1.63, 8.1899, 3.88691, -4.15362
1.64, 8.22836, 3.84537, -4.14746
1.65, 8.2664, 3.8039, -4.14059
1.66, 8.30402, 3.76249, -4.13302
1.67, 8.34123, 3.72116, -4.12479
1.68, 8.37803, 3.67991, -4.11589
1.69, 8.41442, 3.63875, -4.10635
1.7, 8.4504, 3.59769, -4.09617
1.71, 8.48596, 3.55673, -4.08538
1.72, 8.52112, 3.51587, -4.07399
1.73, 8.55587, 3.47513, -4.06202
1.74, 8.59022, 3.43451, -4.04947
1.75, 8.62416, 3.39402, -4.03636
1.76, 8.6577, 3.35366, -4.0227
1.77, 8.69083, 3.31343, -4.00852
1.78, 8.72356, 3.27334, -3.99381
1.79, 8.7559, 3.23341, -3.97861
1.8, 8.78783, 3.19362, -3.96291
1.81, 8.81937, 3.15399, -3.94673
1.82, 8.85052, 3.11452, -3.93008
1.83, 8.88127, 3.07522, -3.91299
1.84, 8.91163, 3.03609, -3.89545
1.85, 8.9416, 2.99714, -3.87748
1.86, 8.97119, 2.95836, -3.8591
1.87, 9.00038, 2.91977, -3.84031
1.88, 9.0292, 2.88137, -3.82113
1.89, 9.05763, 2.84316, -3.80158
1.9, 9.08568, 2.80514, -3.78165
1.91, 9.11335, 2.76733, -3.76136
1.92, 9.14065, 2.72971, -3.74073
1.93, 9.16757, 2.6923, -3.71976
1.94, 9.19413, 2.65511, -3.69847
1.95, 9.22031, 2.61812, -3.67686
1.96, 9.24612, 2.58135, -3.65495
1.97, 9.27157, 2.5448, -3.63275
1.98, 9.29665, 2.50848, -3.61026
1.99, 9.32138, 2.47237, -3.5875
2, 9.34574, 2.4365, -3.56448
2.01, 9.36975, 2.40085, -3.54121
2.02, 9.39341, 2.36544, -3.51769
2.03, 9.41671, 2.33027, -3.49395
2.04, 9.43966, 2.29533, -3.46997
2.05, 9.46227, 2.26063, -3.44579
2.06, 9.48453, 2.22617, -3.42139
2.07, 9.50645, 2.19195, -3.39681
2.08, 9.52803, 2.15799, -3.37203
2.09, 9.54927, 2.12427, -3.34707
2.1, 9.57018, 2.0908, -3.32195
2.11, 9.59075, 2.05758, -3.29666
2.12, 9.611, 2.02461, -3.27122
2.13, 9.63092, 1.9919, -3.24563
2.14, 9.65051, 1.95944, -3.21991
2.15, 9.66979, 1.92724, -3.19406
2.16, 9.68874, 1.8953, -3.16808
2.17, 9.70738, 1.86362, -3.14199
2.18, 9.7257, 1.8322, -3.1158
2.19, 9.74371, 1.80104, -3.0895
2.2, 9.76141, 1.77015, -3.06311
2.21, 9.7788, 1.73952, -3.03664
2.22, 9.7959, 1.70915, -3.01009
2.23, 9.81269, 1.67905, -2.98347
2.24, 9.82918, 1.64921, -2.95679
2.25, 9.84538, 1.61965, -2.93004
2.26, 9.86128, 1.59035, -2.90325
2.27, 9.87689, 1.56131, -2.87641
2.28, 9.89222, 1.53255, -2.84953
2.29, 9.90726, 1.50405, -2.82262
2.3, 9.92202, 1.47583, -2.79569
2.31, 9.9365, 1.44787, -2.76873
2.32, 9.9507, 1.42018, -2.74176
2.33, 9.96462, 1.39277, -2.71478
2.34, 9.97828, 1.36562, -2.6878
2.35, 9.99167, 1.33874, -2.66082
2.36, 10.0048, 1.31213, -2.63384
2.37, 10.0176, 1.28579, -2.60688
2.38, 10.0302, 1.25972, -2.57994
2.39, 10.0426, 1.23393, -2.55302
2.4, 10.0547, 1.2084, -2.52613
2.41, 10.0665, 1.18313, -2.49927
2.42, 10.0781, 1.15814, -2.47244
2.43, 10.0894, 1.13342, -2.44566
2.44, 10.1005, 1.10896, -2.41893
2.45, 10.1114, 1.08477, -2.39225
2.46, 10.122, 1.06085, -2.36562
2.47, 10.1323, 1.03719, -2.33905
2.48, 10.1425, 1.0138, -2.31254
2.49, 10.1524, 0.990676, -2.28611
2.5, 10.1621, 0.967815, -2.25974
2.51, 10.1715, 0.945218, -2.23345
2.52, 10.1807, 0.922883, -2.20724
2.53, 10.1897, 0.900811, -2.18111
2.54, 10.1985, 0.879, -2.15507
2.55, 10.2071, 0.857449, -2.12912
2.56, 10.2155, 0.836158, -2.10326
2.57, 10.2236, 0.815125, -2.07749
2.58, 10.2316, 0.79435, -2.05183
2.59, 10.2393, 0.773832, -2.02627
2.6, 10.2468, 0.753569, -2.00082
2.61, 10.2542, 0.733561, -1.97547
2.62, 10.2613, 0.713807, -1.95024
2.63, 10.2683, 0.694304, -1.92512
2.64, 10.275, 0.675053, -1.90012
2.65, 10.2816, 0.656052, -1.87524
2.66, 10.2879, 0.637299, -1.85048
2.67, 10.2941, 0.618795, -1.82585
2.68, 10.3001, 0.600536, -1.80134
2.69, 10.306, 0.582523, -1.77696
2.7, 10.3116, 0.564753, -1.75272
2.71, 10.3171, 0.547226, -1.72861
2.72, 10.3224, 0.52994, -1.70464
2.73, 10.3275, 0.512893, -1.6808
2.74, 10.3325, 0.496085, -1.65711
2.75, 10.3373, 0.479514, -1.63355
2.76, 10.3419, 0.463179, -1.61015
2.77, 10.3464, 0.447077, -1.58689
2.78, 10.3507, 0.431209, -1.56377
2.79, 10.3548, 0.415571, -1.54081
2.8, 10.3588, 0.400163, -1.51799
2.81, 10.3627, 0.384983, -1.49533
2.82, 10.3664, 0.370029, -1.47283
2.83, 10.3699, 0.355301, -1.45048
2.84, 10.3733, 0.340796, -1.42828
2.85, 10.3766, 0.326514, -1.40625
2.86, 10.3797, 0.312451, -1.38437
2.87, 10.3827, 0.298607, -1.36266
2.88, 10.3856, 0.284981, -1.3411
2.89, 10.3883, 0.27157, -1.31971
2.9, 10.3909, 0.258373, -1.29849
2.91, 10.3933, 0.245388, -1.27742
2.92, 10.3957, 0.232613, -1.25653
2.93, 10.3979, 0.220048, -1.2358
2.94, 10.3999, 0.20769, -1.21524
2.95, 10.4019, 0.195538, -1.19484
2.96, 10.4037, 0.183589, -1.17462
2.97, 10.4054, 0.171843, -1.15456
2.98, 10.407, 0.160298, -1.13468
2.99, 10.4085, 0.148951, -1.11496
3, 10.4099, 0.137801, -1.09542
3.01, 10.4112, 0.126847, -1.07605
3.02, 10.4123, 0.116087, -1.05685
3.03, 10.4134, 0.105518, -1.03782
3.04, 10.4143, 0.0951398, -1.01897
3.05, 10.4152, 0.0849501, -1.00029
3.06, 10.4159, 0.0749473, -0.981781
3.07, 10.4166, 0.0651294, -0.963448
3.08, 10.4171, 0.055495, -0.945289
3.09, 10.4176, 0.0460421, -0.927304
3.1, 10.418, 0.036769, -0.909493
3.11, 10.4183, 0.0276741, -0.891857
3.12, 10.4184, 0.0187555, -0.874395
3.13, 10.4185, 0.0100116, -0.857107
3.14, 10.4186, 0.00144052, -0.839994
3.15, 10.4185, -0.00695942, -0.823055
3.16, 10.4183, -0.01519, -0.80629
3.17, 10.4181, -0.0232529, -0.789699
3.18, 10.4178, -0.0311499, -0.773282
3.19, 10.4174, -0.0388827, -0.757039
3.2, 10.4169, -0.0464531, -0.740969
3.21, 10.4164, -0.0538628, -0.725072
3.22, 10.4158, -0.0611135, -0.709349
3.23, 10.4151, -0.068207, -0.693798
3.24, 10.4144, -0.0751449, -0.678419
3.25, 10.4135, -0.0819291, -0.663212
3.26, 10.4126, -0.0885612, -0.648176
3.27, 10.4117, -0.095043, -0.633312
3.28, 10.4107, -0.101376, -0.618618
3.29, 10.4096, -0.107562, -0.604094
3.3, 10.4085, -0.113603, -0.589741
3.31, 10.4073, -0.119501, -0.575556
3.32, 10.406, -0.125256, -0.561539
3.33, 10.4047, -0.130872, -0.547691
3.34, 10.4034, -0.136349, -0.53401
3.35, 10.4019, -0.141689, -0.520496
3.36, 10.4005, -0.146894, -0.507149
3.37, 10.3989, -0.151965, -0.493966
3.38, 10.3974, -0.156905, -0.480949
3.39, 10.3958, -0.161714, -0.468096
3.4, 10.3941, -0.166395, -0.455406
3.41, 10.3924, -0.170949, -0.442879
3.42, 10.3906, -0.175378, -0.430514
3.43, 10.3888, -0.179683, -0.41831
3.44, 10.387, -0.183866, -0.406266
3.45, 10.3851, -0.187929, -0.394382
3.46, 10.3832, -0.191873, -0.382657
3.47, 10.3812, -0.195699, -0.37109
3.48, 10.3793, -0.19941, -0.35968
3.49, 10.3772, -0.203007, -0.348426
3.5, 10.3752, -0.206491, -0.337328
3.51, 10.3731, -0.209865, -0.326384
3.52, 10.3709, -0.213128, -0.315594
3.53, 10.3688, -0.216284, -0.304956
3.54, 10.3666, -0.219334, -0.29447
3.55, 10.3643, -0.222279, -0.284136
3.56, 10.3621, -0.22512, -0.27395
3.57, 10.3598, -0.227859, -0.263914
3.58, 10.3575, -0.230499, -0.254026
3.59, 10.3552, -0.233039, -0.244285
3.6, 10.3528, -0.235482, -0.234689
3.61, 10.3504, -0.237829, -0.225239
3.62, 10.348, -0.240081, -0.215933
3.63, 10.3456, -0.24224, -0.206769
3.64, 10.3432, -0.244308, -0.197748
3.65, 10.3407, -0.246286, -0.188867
3.66, 10.3382, -0.248174, -0.180126
3.67, 10.3357, -0.249975, -0.171524
3.68, 10.3332, -0.251691, -0.16306
3.69, 10.3307, -0.253321, -0.154732
3.7, 10.3281, -0.254869, -0.14654
3.71, 10.3256, -0.256334, -0.138483
3.72, 10.323, -0.257719, -0.130559
3.73, 10.3204, -0.259024, -0.122767
3.74, 10.3178, -0.260252, -0.115107
3.75, 10.3152, -0.261403, -0.107576
3.76, 10.3126, -0.262479, -0.100175
3.77, 10.3099, -0.263481, -0.0929021
3.78, 10.3073, -0.26441, -0.0857559
3.79, 10.3046, -0.265267, -0.0787354
3.8, 10.302, -0.266055, -0.0718396
3.81, 10.2993, -0.266773, -0.0650674
3.82, 10.2966, -0.267424, -0.0584176
3.83, 10.294, -0.268008, -0.0518891
3.84, 10.2913, -0.268527, -0.0454808
3.85, 10.2886, -0.268982, -0.0391915
3.86, 10.2859, -0.269373, -0.0330202
3.87, 10.2832, -0.269704, -0.0269657
3.88, 10.2805, -0.269973, -0.0210269
3.89, 10.2778, -0.270184, -0.0152027
3.9, 10.2751, -0.270336, -0.00949197
3.91, 10.2724, -0.270431, -0.00389352
3.92, 10.2697, -0.270469, 0.00159374
3.93, 10.267, -0.270454, 0.00697093
3.94, 10.2643, -0.270384, 0.0122392
3.95, 10.2616, -0.270261, 0.0173996
3.96, 10.2589, -0.270087, 0.0224534
3.97, 10.2562, -0.269863, 0.0274016
3.98, 10.2535, -0.269589, 0.0322453
3.99, 10.2508, -0.269266, 0.0369858
4, 10.2481, -0.268897, 0.041624
4.01, 10.2454, -0.26848, 0.0461611
4.02, 10.2427, -0.268019, 0.0505982
4.03, 10.24, -0.267513, 0.0549365
4.04, 10.2374, -0.266963, 0.0591771
4.05, 10.2347, -0.266372, 0.063321
4.06, 10.2321, -0.265738, 0.0673693
4.07, 10.2294, -0.265065, 0.0713232
4.08, 10.2268, -0.264351, 0.0751838
4.09, 10.2241, -0.2636, 0.0789521
4.1, 10.2215, -0.26281, 0.0826293
4.11, 10.2189, -0.261984, 0.0862164
4.12, 10.2163, -0.261122, 0.0897145
4.13, 10.2137, -0.260225, 0.0931247
4.14, 10.2111, -0.259293, 0.096448
4.15, 10.2085, -0.258329, 0.0996856
4.16, 10.2059, -0.257332, 0.102839
4.17, 10.2033, -0.256304, 0.105908
4.18, 10.2008, -0.255244, 0.108895
4.19, 10.1983, -0.254156, 0.1118
4.2, 10.1957, -0.253038, 0.114625
4.21, 10.1932, -0.251891, 0.11737
4.22, 10.1907, -0.250718, 0.120037
4.23, 10.1882, -0.249517, 0.122626
4.24, 10.1857, -0.248291, 0.12514
4.25, 10.1833, -0.24704, 0.127578
4.26, 10.1808, -0.245764, 0.129941
4.27, 10.1783, -0.244464, 0.132232
4.28, 10.1759, -0.243142, 0.13445
4.29, 10.1735, -0.241798, 0.136597
4.3, 10.1711, -0.240432, 0.138674
4.31, 10.1687, -0.239045, 0.140681
4.32, 10.1663, -0.237638, 0.14262
4.33, 10.164, -0.236212, 0.144492
4.34, 10.1616, -0.234767, 0.146298
4.35, 10.1593, -0.233304, 0.148038
4.36, 10.157, -0.231824, 0.149713
4.37, 10.1547, -0.230326, 0.151326
4.38, 10.1524, -0.228813, 0.152875
4.39, 10.1501, -0.227284, 0.154364
4.4, 10.1478, -0.225741, 0.155791
4.41, 10.1456, -0.224183, 0.157159
4.42, 10.1434, -0.222611, 0.158468
4.43, 10.1412, -0.221027, 0.159719
4.44, 10.139, -0.219429, 0.160913
4.45, 10.1368, -0.21782, 0.162052
4.46, 10.1346, -0.2162, 0.163135
4.47, 10.1325, -0.214568, 0.164163
4.48, 10.1304, -0.212927, 0.165139
4.49, 10.1282, -0.211275, 0.166061
4.5, 10.1261, -0.209615, 0.166932
4.51, 10.1241, -0.207945, 0.167753
4.52, 10.122, -0.206268, 0.168523
4.53, 10.12, -0.204583, 0.169244
4.54, 10.1179, -0.20289, 0.169917
4.55, 10.1159, -0.201191, 0.170542
4.56, 10.1139, -0.199486, 0.171121
4.57, 10.1119, -0.197774, 0.171654
4.58, 10.11, -0.196058, 0.172142
4.59, 10.108, -0.194336, 0.172586
4.6, 10.1061, -0.192611, 0.172987
4.61, 10.1042, -0.190881, 0.173345
4.62, 10.1023, -0.189147, 0.173661
4.63, 10.1004, -0.187411, 0.173936
4.64, 10.0986, -0.185671, 0.17417
4.65, 10.0967, -0.18393, 0.174366
4.66, 10.0949, -0.182186, 0.174522
4.67, 10.0931, -0.180441, 0.17464
4.68, 10.0913, -0.178694, 0.174722
4.69, 10.0896, -0.176947, 0.174766
4.7, 10.0878, -0.175199, 0.174775
4.71, 10.0861, -0.173452, 0.174748
4.72, 10.0844, -0.171704, 0.174687
4.73, 10.0827, -0.169957, 0.174593
4.74, 10.081, -0.168211, 0.174465
4.75, 10.0793, -0.166467, 0.174305
4.76, 10.0777, -0.164724, 0.174114
4.77, 10.076, -0.162983, 0.173891
4.78, 10.0744, -0.161244, 0.173638
4.79, 10.0728, -0.159507, 0.173355
4.8, 10.0713, -0.157774, 0.173044
4.81, 10.0697, -0.156043, 0.172704
4.82, 10.0681, -0.154316, 0.172336
4.83, 10.0666, -0.152593, 0.171941
4.84, 10.0651, -0.150873, 0.17152
4.85, 10.0636, -0.149158, 0.171073
4.86, 10.0621, -0.147448, 0.1706
4.87, 10.0607, -0.145742, 0.170103
4.88, 10.0592, -0.144041, 0.169582
4.89, 10.0578, -0.142345, 0.169037
4.9, 10.0564, -0.140654, 0.168469
4.91, 10.055, -0.13897, 0.167879
4.92, 10.0537, -0.137291, 0.167267
4.93, 10.0523, -0.135618, 0.166634
4.94, 10.051, -0.133952, 0.165981
4.95, 10.0496, -0.132292, 0.165307
4.96, 10.0483, -0.130639, 0.164614
4.97, 10.047, -0.128993, 0.163901
4.98, 10.0458, -0.127354, 0.16317
4.99, 10.0445, -0.125722, 0.162421
5, 10.0433, -0.124098, 0.161655
5.01, 10.042, -0.122481, 0.160871
5.02, 10.0408, -0.120873, 0.160071
5.03, 10.0396, -0.119272, 0.159255
5.04, 10.0385, -0.117679, 0.158424
5.05, 10.0373, -0.116095, 0.157577
5.06, 10.0362, -0.114519, 0.156716
5.07, 10.035, -0.112952, 0.155841
5.08, 10.0339, -0.111394, 0.154952
5.09, 10.0328, -0.109844, 0.15405
5.1, 10.0317, -0.108304, 0.153135
5.11, 10.0307, -0.106772, 0.152208
5.12, 10.0296, -0.10525, 0.151268
5.13, 10.0286, -0.103738, 0.150318
5.14, 10.0276, -0.102234, 0.149356
5.15, 10.0265, -0.100741, 0.148384
5.16, 10.0256, -0.0992571, 0.147401
5.17, 10.0246, -0.0977831, 0.146409
5.18, 10.0236, -0.096319, 0.145407
5.19, 10.0227, -0.0948649, 0.144396
5.2, 10.0217, -0.0934209, 0.143377
5.21, 10.0208, -0.0919872, 0.142349
5.22, 10.0199, -0.0905637, 0.141313
5.23, 10.019, -0.0891505, 0.14027
5.24, 10.0181, -0.0877478, 0.13922
5.25, 10.0173, -0.0863556, 0.138162
5.26, 10.0164, -0.084974, 0.137099
5.27, 10.0156, -0.083603, 0.136029
5.28, 10.0148, -0.0822427, 0.134953
5.29, 10.014, -0.0808932, 0.133872
5.3, 10.0132, -0.0795545, 0.132785
5.31, 10.0124, -0.0782266, 0.131694
5.32, 10.0116, -0.0769097, 0.130599
5.33, 10.0109, -0.0756037, 0.129499
5.34, 10.0101, -0.0743087, 0.128395
5.35, 10.0094, -0.0730248, 0.127287
5.36, 10.0087, -0.0717519, 0.126177
5.37, 10.008, -0.0704901, 0.125063
5.38, 10.0073, -0.0692395, 0.123947
5.39, 10.0066, -0.068, 0.122828
5.4, 10.0059, -0.0667718, 0.121707
5.41, 10.0053, -0.0655547, 0.120583
5.42, 10.0046, -0.0643489, 0.119459
5.43, 10.004, -0.0631543, 0.118333
5.44, 10.0034, -0.061971, 0.117205
5.45, 10.0028, -0.0607989, 0.116077
5.46, 10.0022, -0.0596381, 0.114949
5.47, 10.0016, -0.0584886, 0.113819
5.48, 10.001, -0.0573504, 0.11269
5.49, 10.0004, -0.0562235, 0.111561
5.5, 9.99989, -0.0551079, 0.110432
5.51, 9.99935, -0.0540036, 0.109303
5.52, 9.99882, -0.0529106, 0.108175
5.53, 9.9983, -0.0518288, 0.107048
5.54, 9.9978, -0.0507584, 0.105922
5.55, 9.9973, -0.0496991, 0.104798
5.56, 9.99681, -0.0486512, 0.103675
5.57, 9.99634, -0.0476144, 0.102554
5.58, 9.99587, -0.0465889, 0.101435
5.59, 9.99542, -0.0455745, 0.100317
5.6, 9.99497, -0.0445713, 0.0992024
5.61, 9.99453, -0.0435793, 0.0980899
5.62, 9.99411, -0.0425984, 0.0969801
5.63, 9.99369, -0.0416286, 0.0958731
5.64, 9.99329, -0.0406699, 0.094769
5.65, 9.99289, -0.0397222, 0.0936681
5.66, 9.9925, -0.0387855, 0.0925704
5.67, 9.99212, -0.0378598, 0.0914762
5.68, 9.99175, -0.0369451, 0.0903856
5.69, 9.99139, -0.0360412, 0.0892987
5.7, 9.99104, -0.0351482, 0.0882157
5.71, 9.9907, -0.0342661, 0.0871367
5.72, 9.99036, -0.0333947, 0.0860619
5.73, 9.99004, -0.0325341, 0.0849913
5.74, 9.98972, -0.0316842, 0.0839252
5.75, 9.98941, -0.0308449, 0.0828636
5.76, 9.98911, -0.0300163, 0.0818066
5.77, 9.98882, -0.0291982, 0.0807545
5.78, 9.98854, -0.0283907, 0.0797072
5.79, 9.98826, -0.0275936, 0.0786649
5.8, 9.98799, -0.0268069, 0.0776277
5.81, 9.98773, -0.0260307, 0.0765958
5.82, 9.98748, -0.0252647, 0.0755692
5.83, 9.98724, -0.024509, 0.074548
5.84, 9.987, -0.0237635, 0.0735323
5.85, 9.98677, -0.0230282, 0.0725222
5.86, 9.98654, -0.022303, 0.0715178
5.87, 9.98633, -0.0215878, 0.0705192
5.88, 9.98612, -0.0208826, 0.0695265
5.89, 9.98592, -0.0201874, 0.0685397
5.9, 9.98572, -0.019502, 0.067559
5.91, 9.98553, -0.0188264, 0.0665843
5.92, 9.98535, -0.0181605, 0.0656158
5.93, 9.98518, -0.0175044, 0.0646536
5.94, 9.98501, -0.0168578, 0.0636977
5.95, 9.98485, -0.0162209, 0.0627481
