========================================
Experiment: P Controller + Spring Mass Damper
========================================

Simulation Parameters
---------------------
Target Position : 10.0 m
Simulation Time : 20.0 s
Time Step (dt) : 0.01 s

Controller
----------
Kp : 2.0

Plant
-----
Mass : 1.0 kg
Spring Constant : 2.0
Damping Coefficient : 1.0

Observed Results
----------------
- Position converges to the target.
- The position settled at aproxximately 5.0 m instead of the 10.0 m target
- Maximum observed position: 5.00 aproxx.
- A steady-state error of approximately 5.0 m remained.
- P control is not effective for removing steady-state error for spring mass damper

Explanation
-----------
At equilibrium, the velocity and acceleration become zero. The controller output (Kp × error) balances the spring restoring force (k × x). Since this balance occurs before the target position is reached, the error remains non-zero, resulting in a steady-state error.

Logs
----
time,position,velocity,controller_output
1.29, 6.71417, 3.22397, 6.57166
1.3, 6.7454, 3.12316, 6.5092
1.31, 6.77562, 3.02211, 6.44875
1.32, 6.80483, 2.92087, 6.39034
1.33, 6.83303, 2.81946, 6.33395
1.34, 6.86021, 2.71795, 6.27959
1.35, 6.88637, 2.61636, 6.22726
1.36, 6.91152, 2.51474, 6.17697
1.37, 6.93565, 2.41313, 6.1287
1.38, 6.95876, 2.31158, 6.08247
1.39, 6.98087, 2.21011, 6.03827
1.4, 7.00195, 2.10878, 5.99609
1.41, 7.02203, 2.00761, 5.95594
1.42, 7.0411, 1.90665, 5.91781
1.43, 7.05916, 1.80594, 5.88169
1.44, 7.07621, 1.70552, 5.84758
1.45, 7.09226, 1.60541, 5.81547
1.46, 7.10732, 1.50567, 5.78536
1.47, 7.12138, 1.40632, 5.75723
1.48, 7.13446, 1.3074, 5.73108
1.49, 7.14655, 1.20895, 5.7069
1.5, 7.15766, 1.111, 5.68468
1.51, 7.16779, 1.01358, 5.66441
1.52, 7.17696, 0.916732, 5.64608
1.53, 7.18517, 0.820486, 5.62967
1.54, 7.19241, 0.724875, 5.61517
1.55, 7.19871, 0.62993, 5.60257
1.56, 7.20407, 0.535682, 5.59186
1.57, 7.20849, 0.442162, 5.58302
1.58, 7.21199, 0.349401, 5.57603
1.59, 7.21456, 0.257427, 5.57088
1.6, 7.21622, 0.166271, 5.56755
1.61, 7.21698, 0.0759591, 5.56603
1.62, 7.21685, -0.0134798, 5.5663
1.63, 7.21583, -0.102019, 5.56834
1.64, 7.21393, -0.189632, 5.57214
1.65, 7.21117, -0.276293, 5.57766
1.66, 7.20755, -0.361977, 5.5849
1.67, 7.20308, -0.446659, 5.59384
1.68, 7.19778, -0.530316, 5.60444
1.69, 7.19165, -0.612924, 5.6167
1.7, 7.18471, -0.69446, 5.63059
1.71, 7.17696, -0.774904, 5.64609
1.72, 7.16841, -0.854233, 5.66317
1.73, 7.15909, -0.932427, 5.68182
1.74, 7.14899, -1.00947, 5.70201
1.75, 7.13814, -1.08533, 5.72372
1.76, 7.12654, -1.16, 5.74692
1.77, 7.11421, -1.23347, 5.77159
1.78, 7.10115, -1.3057, 5.7977
1.79, 7.08738, -1.37669, 5.82523
1.8, 7.07292, -1.44642, 5.85416
1.81, 7.05777, -1.51487, 5.88446
1.82, 7.04195, -1.58203, 5.9161
1.83, 7.02547, -1.64789, 5.94906
1.84, 7.00835, -1.71243, 5.98331
1.85, 6.99059, -1.77564, 6.01882
1.86, 6.97222, -1.83751, 6.05557
1.87, 6.95323, -1.89802, 6.09353
1.88, 6.93366, -1.95717, 6.13267
1.89, 6.91351, -2.01494, 6.17297
1.9, 6.8928, -2.07133, 6.2144
1.91, 6.87154, -2.12633, 6.25693
1.92, 6.84974, -2.17993, 6.30052
1.93, 6.82742, -2.23212, 6.34517
1.94, 6.80459, -2.2829, 6.39082
1.95, 6.78127, -2.33225, 6.43747
1.96, 6.75746, -2.38018, 6.48507
1.97, 6.7332, -2.42668, 6.53361
1.98, 6.70848, -2.47174, 6.58304
1.99, 6.68333, -2.51536, 6.63335
2, 6.65775, -2.55754, 6.6845
2.01, 6.63177, -2.59827, 6.73647
2.02, 6.60539, -2.63756, 6.78922
2.03, 6.57864, -2.6754, 6.84272
2.04, 6.55152, -2.71179, 6.89696
2.05, 6.52405, -2.74674, 6.95189
2.06, 6.49625, -2.78023, 7.0075
2.07, 6.46813, -2.81228, 7.06375
2.08, 6.4397, -2.84288, 7.1206
2.09, 6.41098, -2.87204, 7.17804
2.1, 6.38198, -2.89976, 7.23604
2.11, 6.35272, -2.92604, 7.29456
2.12, 6.32321, -2.95089, 7.35358
2.13, 6.29347, -2.97431, 7.41306
2.14, 6.26351, -2.9963, 7.47299
2.15, 6.23334, -3.01688, 7.53333
2.16, 6.20298, -3.03605, 7.59405
2.17, 6.17244, -3.0538, 7.65512
2.18, 6.14174, -3.07016, 7.71653
2.19, 6.11089, -3.08513, 7.77823
2.2, 6.0799, -3.09872, 7.8402
2.21, 6.04879, -3.11092, 7.90242
2.22, 6.01757, -3.12177, 7.96486
2.23, 5.98626, -3.13125, 8.02748
2.24, 5.95486, -3.13939, 8.09027
2.25, 5.9234, -3.14619, 8.15319
2.26, 5.89189, -3.15166, 8.21623
2.27, 5.86033, -3.15582, 8.27934
2.28, 5.82874, -3.15868, 8.34252
2.29, 5.79714, -3.16024, 8.40572
2.3, 5.76553, -3.16052, 8.46893
2.31, 5.73394, -3.15954, 8.53212
2.32, 5.70236, -3.1573, 8.59527
2.33, 5.67083, -3.15382, 8.65835
2.34, 5.63934, -3.14912, 8.72133
2.35, 5.6079, -3.1432, 8.78419
2.36, 5.57654, -3.13609, 8.84691
2.37, 5.54526, -3.12779, 8.90947
2.38, 5.51408, -3.11832, 8.97184
2.39, 5.483, -3.1077, 9.03399
2.4, 5.45205, -3.09594, 9.09591
2.41, 5.42121, -3.08306, 9.15757
2.42, 5.39052, -3.06908, 9.21895
2.43, 5.35998, -3.05401, 9.28003
2.44, 5.3296, -3.03787, 9.34079
2.45, 5.2994, -3.02068, 9.4012
2.46, 5.26937, -3.00245, 9.46125
2.47, 5.23954, -2.9832, 9.52092
2.48, 5.20991, -2.96295, 9.58018
2.49, 5.1805, -2.94171, 9.63901
2.5, 5.1513, -2.91952, 9.6974
2.51, 5.12234, -2.89637, 9.75533
2.52, 5.09361, -2.8723, 9.81277
2.53, 5.06514, -2.84732, 9.86972
2.54, 5.03693, -2.82146, 9.92615
2.55, 5.00898, -2.79472, 9.98204
2.56, 4.98131, -2.76713, 10.0374
2.57, 4.95392, -2.73871, 10.0922
2.58, 4.92682, -2.70948, 10.1464
2.59, 4.90003, -2.67946, 10.1999
2.6, 4.87354, -2.64867, 10.2529
2.61, 4.84737, -2.61712, 10.3053
2.62, 4.82152, -2.58485, 10.357
2.63, 4.79601, -2.55186, 10.408
2.64, 4.77082, -2.51818, 10.4584
2.65, 4.74599, -2.48383, 10.508
2.66, 4.7215, -2.44883, 10.557
2.67, 4.69736, -2.4132, 10.6053
2.68, 4.6736, -2.37697, 10.6528
2.69, 4.65019, -2.34014, 10.6996
2.7, 4.62717, -2.30275, 10.7457
2.71, 4.60452, -2.26481, 10.791
2.72, 4.58226, -2.22634, 10.8355
2.73, 4.56038, -2.18736, 10.8792
2.74, 4.5389, -2.14791, 10.9222
2.75, 4.51782, -2.10798, 10.9644
2.76, 4.49715, -2.06762, 11.0057
2.77, 4.47688, -2.02683, 11.0462
2.78, 4.45702, -1.98563, 11.086
2.79, 4.43758, -1.94406, 11.1248
2.8, 4.41856, -1.90212, 11.1629
2.81, 4.39996, -1.85984, 11.2001
2.82, 4.38179, -1.81724, 11.2364
2.83, 4.36405, -1.77434, 11.2719
2.84, 4.34673, -1.73116, 11.3065
2.85, 4.32986, -1.68772, 11.3403
2.86, 4.31342, -1.64403, 11.3732
2.87, 4.29742, -1.60013, 11.4052
2.88, 4.28186, -1.55603, 11.4363
2.89, 4.26674, -1.51174, 11.4665
2.9, 4.25206, -1.46729, 11.4959
2.91, 4.23784, -1.4227, 11.5243
2.92, 4.22406, -1.37799, 11.5519
2.93, 4.21073, -1.33317, 11.5785
2.94, 4.19784, -1.28827, 11.6043
2.95, 4.18541, -1.2433, 11.6292
2.96, 4.17343, -1.19828, 11.6531
2.97, 4.1619, -1.15324, 11.6762
2.98, 4.15081, -1.10818, 11.6984
2.99, 4.14018, -1.06313, 11.7196
3, 4.13, -1.01811, 11.74
3.01, 4.12027, -0.973126, 11.7595
3.02, 4.11099, -0.928205, 11.778
3.03, 4.10215, -0.883363, 11.7957
3.04, 4.09377, -0.838615, 11.8125
3.05, 4.08583, -0.79398, 11.8283
3.06, 4.07833, -0.749473, 11.8433
3.07, 4.07128, -0.705112, 11.8574
3.08, 4.06467, -0.660912, 11.8707
3.09, 4.0585, -0.61689, 11.883
3.1, 4.05277, -0.573061, 11.8945
3.11, 4.04748, -0.529441, 11.905
3.12, 4.04262, -0.486046, 11.9148
3.13, 4.03819, -0.44289, 11.9236
3.14, 4.03419, -0.399989, 11.9316
3.15, 4.03062, -0.357357, 11.9388
3.16, 4.02747, -0.315008, 11.9451
3.17, 4.02474, -0.272956, 11.9505
3.18, 4.02242, -0.231216, 11.9552
3.19, 4.02053, -0.189801, 11.9589
3.2, 4.01904, -0.148724, 11.9619
3.21, 4.01796, -0.107999, 11.9641
3.22, 4.01728, -0.0676369, 11.9654
3.23, 4.01701, -0.0276519, 11.966
3.24, 4.01713, 0.0119444, 11.9657
3.25, 4.01764, 0.0511399, 11.9647
3.26, 4.01854, 0.089923, 11.9629
3.27, 4.01982, 0.128282, 11.9604
3.28, 4.02148, 0.166207, 11.957
3.29, 4.02352, 0.203685, 11.953
3.3, 4.02593, 0.240708, 11.9481
3.31, 4.0287, 0.277264, 11.9426
3.32, 4.03183, 0.313343, 11.9363
3.33, 4.03532, 0.348936, 11.9294
3.34, 4.03916, 0.384034, 11.9217
3.35, 4.04335, 0.418627, 11.9133
3.36, 4.04787, 0.452707, 11.9043
3.37, 4.05274, 0.486265, 11.8945
3.38, 4.05793, 0.519293, 11.8841
3.39, 4.06345, 0.551783, 11.8731
3.4, 4.06929, 0.583727, 11.8614
3.41, 4.07544, 0.615118, 11.8491
3.42, 4.0819, 0.64595, 11.8362
3.43, 4.08866, 0.676214, 11.8227
3.44, 4.09572, 0.705906, 11.8086
3.45, 4.10307, 0.735018, 11.7939
3.46, 4.1107, 0.763545, 11.7786
3.47, 4.11862, 0.791482, 11.7628
3.48, 4.12681, 0.818822, 11.7464
3.49, 4.13526, 0.845562, 11.7295
3.5, 4.14398, 0.871696, 11.712
3.51, 4.15295, 0.89722, 11.6941
3.52, 4.16217, 0.922129, 11.6757
3.53, 4.17164, 0.946421, 11.6567
3.54, 4.18134, 0.970092, 11.6373
3.55, 4.19127, 0.993137, 11.6175
3.56, 4.20142, 1.01556, 11.5972
3.57, 4.2118, 1.03734, 11.5764
3.58, 4.22238, 1.0585, 11.5552
3.59, 4.23317, 1.07902, 11.5337
3.6, 4.24416, 1.0989, 11.5117
3.61, 4.25534, 1.11814, 11.4893
3.62, 4.26671, 1.13675, 11.4666
3.63, 4.27826, 1.15471, 11.4435
3.64, 4.28998, 1.17204, 11.42
3.65, 4.30187, 1.18872, 11.3963
3.66, 4.31391, 1.20475, 11.3722
3.67, 4.32611, 1.22015, 11.3478
3.68, 4.33846, 1.2349, 11.3231
3.69, 4.35095, 1.24902, 11.2981
3.7, 4.36358, 1.26249, 11.2728
3.71, 4.37633, 1.27532, 11.2473
3.72, 4.38921, 1.28751, 11.2216
3.73, 4.4022, 1.29907, 11.1956
3.74, 4.4153, 1.30999, 11.1694
3.75, 4.4285, 1.32028, 11.143
3.76, 4.4418, 1.32994, 11.1164
3.77, 4.45519, 1.33897, 11.0896
3.78, 4.46866, 1.34737, 11.0627
3.79, 4.48221, 1.35515, 11.0356
3.8, 4.49584, 1.36231, 11.0083
3.81, 4.50953, 1.36885, 10.9809
3.82, 4.52327, 1.37478, 10.9535
3.83, 4.53707, 1.3801, 10.9259
3.84, 4.55092, 1.38482, 10.8982
3.85, 4.56481, 1.38893, 10.8704
3.86, 4.57874, 1.39245, 10.8425
