========================================
Experiment: PD Controller + Spring Mass Damper
========================================

Simulation Parameters
---------------------
Target Position : 10.0 m
Simulation Time : 20.0 s
Time Step (dt) : 0.01 s

Controller
----------
Kp : 2.0
Kd : 2.0

Plant
-----
Mass : 1.0 kg
Spring Constant : 2.0
Damping Coefficient : 1.0

Observed Results
----------------
- Position converges to the target.
- The position settled at 5.0 m instead of the 10.0 m target
- Maximum observed position: 5.00
- A steady-state error of  5.0 m remained.
- PD control is not effective for removing steady-state error for spring mass damper

Explanation
-----------
At equilibrium, the velocity and acceleration become zero. The controller output (Kp × error) balances the spring restoring force (k × x). Since this balance occurs before the target position is reached, the error remains non-zero, resulting in a steady-state error.

Logs
----
time,position,velocity,controller_output
1.29, 4.30083, 2.13861, 7.1211
1.3, 4.32186, 2.10242, 7.15144
1.31, 4.34252, 2.06648, 7.182
1.32, 4.36283, 2.03078, 7.21278
1.33, 4.38278, 1.99534, 7.24374
1.34, 4.40239, 1.96017, 7.27488
1.35, 4.42164, 1.92527, 7.30618
1.36, 4.44055, 1.89065, 7.33761
1.37, 4.45911, 1.85631, 7.36917
1.38, 4.47733, 1.82225, 7.40083
1.39, 4.49522, 1.78849, 7.43258
1.4, 4.51277, 1.75503, 7.46441
1.41, 4.52998, 1.72187, 7.4963
1.42, 4.54688, 1.68901, 7.52823
1.43, 4.56344, 1.65647, 7.56019
1.44, 4.57968, 1.62424, 7.59217
1.45, 4.59561, 1.59232, 7.62415
1.46, 4.61121, 1.56073, 7.65612
1.47, 4.62651, 1.52946, 7.68807
1.48, 4.64149, 1.49851, 7.71999
1.49, 4.65617, 1.4679, 7.75186
1.5, 4.67055, 1.43761, 7.78368
1.51, 4.68462, 1.40766, 7.81543
1.52, 4.6984, 1.37805, 7.84709
1.53, 4.71189, 1.34877, 7.87867
1.54, 4.72509, 1.31983, 7.91015
1.55, 4.738, 1.29123, 7.94153
1.56, 4.75063, 1.26298, 7.97278
1.57, 4.76298, 1.23506, 8.00391
1.58, 4.77506, 1.20749, 8.0349
1.59, 4.78686, 1.18026, 8.06575
1.6, 4.79839, 1.15338, 8.09645
1.61, 4.80966, 1.12684, 8.12699
1.62, 4.82067, 1.10065, 8.15736
1.63, 4.83142, 1.07481, 8.18755
1.64, 4.84191, 1.04931, 8.21757
1.65, 4.85215, 1.02415, 8.2474
1.66, 4.86215, 0.999339, 8.27703
1.67, 4.87189, 0.974873, 8.30647
1.68, 4.8814, 0.950751, 8.33569
1.69, 4.89067, 0.926972, 8.36471
1.7, 4.89971, 0.903536, 8.39351
1.71, 4.90851, 0.880442, 8.42209
1.72, 4.91709, 0.857688, 8.45045
1.73, 4.92544, 0.835274, 8.47857
1.74, 4.93357, 0.813198, 8.50646
1.75, 4.94149, 0.791459, 8.53411
1.76, 4.94919, 0.770056, 8.56151
1.77, 4.95668, 0.748987, 8.58867
1.78, 4.96396, 0.72825, 8.61558
1.79, 4.97104, 0.707844, 8.64223
1.8, 4.97792, 0.687767, 8.66863
1.81, 4.9846, 0.668018, 8.69477
1.82, 4.99108, 0.648593, 8.72065
1.83, 4.99738, 0.629492, 8.74626
1.84, 5.00348, 0.610712, 8.77161
1.85, 5.00941, 0.592252, 8.79668
1.86, 5.01515, 0.574108, 8.82149
1.87, 5.02071, 0.556279, 8.84602
1.88, 5.0261, 0.538762, 8.87028
1.89, 5.03131, 0.521555, 8.89426
1.9, 5.03636, 0.504656, 8.91797
1.91, 5.04124, 0.488062, 8.94139
1.92, 5.04596, 0.47177, 8.96454
1.93, 5.05052, 0.455779, 8.98741
1.94, 5.05492, 0.440085, 9.01
1.95, 5.05916, 0.424685, 9.0323
1.96, 5.06326, 0.409578, 9.05432
1.97, 5.06721, 0.39476, 9.07606
1.98, 5.07101, 0.380229, 9.09752
1.99, 5.07467, 0.365982, 9.1187
2, 5.07819, 0.352016, 9.13959
2.01, 5.08157, 0.338328, 9.1602
2.02, 5.08482, 0.324915, 9.18052
2.03, 5.08794, 0.311775, 9.20057
2.04, 5.09093, 0.298904, 9.22033
2.05, 5.09379, 0.286299, 9.23982
2.06, 5.09653, 0.273959, 9.25902
2.07, 5.09915, 0.261879, 9.27794
2.08, 5.10165, 0.250056, 9.29658
