========================================
Experiment: PID Controller + Point Mass
========================================

Simulation Parameters
---------------------
Target Position : 10.0 m
Simulation Time : 30.0 s
Time Step (dt) : 0.01 s

Controller
----------
Kp : 2.0
Ki : 1.0
Kd : 2.0

Plant
-----
Mass : 1.0 kg

Observed Results
----------------
- Position converges to the target.
- The steps become shorter and shorter
- Maximum observed position: 10
- PID control is very stabe for spring mass damper

Logs
----
time,position,velocity,controller_output
1.36, 8.75653, 7.45893, -3.71568
1.37, 8.83075, 7.42177, -3.77811
1.38, 8.90459, 7.38399, -3.83927
1.39, 8.97805, 7.34559, -3.89918
1.4, 9.05111, 7.3066, -3.95784
1.41, 9.12378, 7.26702, -4.01526
1.42, 9.19605, 7.22687, -4.07145
1.43, 9.26791, 7.18616, -4.12643
1.44, 9.33936, 7.14489, -4.18019
1.45, 9.41039, 7.10309, -4.23275
1.46, 9.481, 7.06076, -4.28412
1.47, 9.55118, 7.01792, -4.33431
1.48, 9.62093, 6.97458, -4.38332
1.49, 9.69023, 6.93075, -4.43117
1.5, 9.7591, 6.88643, -4.47787
1.51, 9.82751, 6.84166, -4.52342
1.52, 9.89548, 6.79642, -4.56784
1.53, 9.96299, 6.75074, -4.61112
1.54, 10.03, 6.70463, -4.65329
1.55, 10.0966, 6.6581, -4.69436
1.56, 10.1627, 6.61116, -4.73432
1.57, 10.2284, 6.56381, -4.77319
1.58, 10.2935, 6.51608, -4.81099
1.59, 10.3582, 6.46797, -4.84771
1.6, 10.4224, 6.41949, -4.88337
1.61, 10.4861, 6.37066, -4.91797
1.62, 10.5493, 6.32148, -4.95154
1.63, 10.612, 6.27196, -4.98407
1.64, 10.6743, 6.22212, -5.01557
1.65, 10.736, 6.17197, -5.04606
1.66, 10.7972, 6.12151, -5.07554
1.67, 10.8579, 6.07075, -5.10402
1.68, 10.9181, 6.01971, -5.13152
1.69, 10.9778, 5.9684, -5.15803
1.7, 11.037, 5.91682, -5.18358
1.71, 11.0956, 5.86498, -5.20816
1.72, 11.1537, 5.8129, -5.23179
1.73, 11.2113, 5.76058, -5.25448
1.74, 11.2684, 5.70804, -5.27624
1.75, 11.325, 5.65527, -5.29707
1.76, 11.381, 5.6023, -5.31698
1.77, 11.4365, 5.54913, -5.33599
1.78, 11.4914, 5.49577, -5.3541
1.79, 11.5459, 5.44223, -5.37132
1.8, 11.5997, 5.38852, -5.38766
1.81, 11.6531, 5.33464, -5.40313
1.82, 11.7059, 5.28061, -5.41774
1.83, 11.7582, 5.22643, -5.4315
1.84, 11.8099, 5.17212, -5.44441
1.85, 11.8611, 5.11767, -5.45649
1.86, 11.9117, 5.06311, -5.46774
1.87, 11.9618, 5.00843, -5.47817
1.88, 12.0113, 4.95365, -5.48779
1.89, 12.0603, 4.89877, -5.49661
1.9, 12.1087, 4.84381, -5.50464
1.91, 12.1566, 4.78876, -5.51189
1.92, 12.204, 4.73364, -5.51837
1.93, 12.2508, 4.67846, -5.52408
1.94, 12.297, 4.62322, -5.52903
1.95, 12.3427, 4.56793, -5.53323
1.96, 12.3878, 4.51259, -5.5367
1.97, 12.4324, 4.45723, -5.53943
1.98, 12.4764, 4.40183, -5.54144
1.99, 12.5198, 4.34642, -5.54274
2, 12.5628, 4.29099, -5.54334
2.01, 12.6051, 4.23556, -5.54323
2.02, 12.6469, 4.18013, -5.54244
2.03, 12.6882, 4.1247, -5.54096
2.04, 12.7288, 4.06929, -5.53882
2.05, 12.769, 4.0139, -5.53601
2.06, 12.8086, 3.95854, -5.53255
2.07, 12.8476, 3.90322, -5.52844
2.08, 12.8861, 3.84793, -5.52369
2.09, 12.924, 3.7927, -5.51831
2.1, 12.9614, 3.73751, -5.51231
2.11, 12.9982, 3.68239, -5.50569
2.12, 13.0345, 3.62733, -5.49847
2.13, 13.0702, 3.57235, -5.49065
2.14, 13.1054, 3.51744, -5.48224
2.15, 13.14, 3.46262, -5.47324
2.16, 13.1741, 3.40789, -5.46368
2.17, 13.2076, 3.35325, -5.45355
2.18, 13.2406, 3.29872, -5.44286
2.19, 13.273, 3.24429, -5.43161
2.2, 13.3049, 3.18997, -5.41983
2.21, 13.3363, 3.13577, -5.40751
2.22, 13.3671, 3.0817, -5.39467
2.23, 13.3974, 3.02775, -5.3813
2.24, 13.4271, 2.97394, -5.36743
2.25, 13.4563, 2.92026, -5.35305
2.26, 13.485, 2.86673, -5.33817
2.27, 13.5131, 2.81335, -5.32281
2.28, 13.5407, 2.76012, -5.30696
2.29, 13.5678, 2.70705, -5.29064
2.3, 13.5944, 2.65415, -5.27385
2.31, 13.6204, 2.60141, -5.25661
2.32, 13.6459, 2.54884, -5.23891
2.33, 13.6708, 2.49645, -5.22077
2.34, 13.6953, 2.44425, -5.20219
2.35, 13.7192, 2.39222, -5.18319
2.36, 13.7426, 2.34039, -5.16376
2.37, 13.7655, 2.28875, -5.14391
2.38, 13.7879, 2.23731, -5.12366
2.39, 13.8097, 2.18608, -5.103
2.4, 13.8311, 2.13505, -5.08195
2.41, 13.8519, 2.08423, -5.06052
2.42, 13.8722, 2.03362, -5.0387
2.43, 13.8921, 1.98324, -5.01652
2.44, 13.9114, 1.93307, -4.99396
2.45, 13.9302, 1.88313, -4.97105
2.46, 13.9486, 1.83342, -4.94778
2.47, 13.9664, 1.78394, -4.92417
2.48, 13.9838, 1.7347, -4.90021
2.49, 14.0006, 1.6857, -4.87593
2.5, 14.017, 1.63694, -4.85132
2.51, 14.0329, 1.58843, -4.82639
2.52, 14.0483, 1.54016, -4.80115
2.53, 14.0632, 1.49215, -4.7756
2.54, 14.0776, 1.4444, -4.74975
2.55, 14.0916, 1.3969, -4.72361
2.56, 14.1051, 1.34966, -4.69719
2.57, 14.1181, 1.30269, -4.67048
2.58, 14.1307, 1.25599, -4.64349
2.59, 14.1428, 1.20955, -4.61624
2.6, 14.1544, 1.16339, -4.58873
2.61, 14.1656, 1.1175, -4.56096
2.62, 14.1763, 1.07189, -4.53294
2.63, 14.1866, 1.02656, -4.50468
2.64, 14.1964, 0.981515, -4.47618
2.65, 14.2058, 0.936753, -4.44745
2.66, 14.2147, 0.892279, -4.41849
2.67, 14.2232, 0.848094, -4.38932
2.68, 14.2312, 0.8042, -4.35993
2.69, 14.2388, 0.760601, -4.33033
2.7, 14.246, 0.717298, -4.30053
2.71, 14.2527, 0.674293, -4.27053
2.72, 14.259, 0.631587, -4.24034
2.73, 14.2649, 0.589184, -4.20997
2.74, 14.2704, 0.547084, -4.17941
2.75, 14.2755, 0.50529, -4.14869
2.76, 14.2801, 0.463803, -4.11779
2.77, 14.2843, 0.422625, -4.08673
2.78, 14.2881, 0.381758, -4.05551
2.79, 14.2916, 0.341203, -4.02414
2.8, 14.2946, 0.300961, -3.99262
2.81, 14.2972, 0.261035, -3.96096
2.82, 14.2994, 0.221426, -3.92917
2.83, 14.3012, 0.182134, -3.89724
2.84, 14.3026, 0.143162, -3.86518
2.85, 14.3037, 0.10451, -3.83301
2.86, 14.3043, 0.0661797, -3.80071
2.87, 14.3046, 0.0281725, -3.76831
2.88, 14.3045, -0.00951055, -3.7358
2.89, 14.3041, -0.0468685, -3.70319
2.9, 14.3032, -0.0839004, -3.67048
2.91, 14.302, -0.120605, -3.63767
2.92, 14.3005, -0.156982, -3.60479
2.93, 14.2985, -0.19303, -3.57181
2.94, 14.2962, -0.228748, -3.53877
2.95, 14.2936, -0.264136, -3.50564
2.96, 14.2906, -0.299192, -3.47245
2.97, 14.2873, -0.333916, -3.4392
2.98, 14.2836, -0.368308, -3.40588
2.99, 14.2796, -0.402367, -3.37251
3, 14.2752, -0.436092, -3.33909
3.01, 14.2705, -0.469483, -3.30563
3.02, 14.2655, -0.50254, -3.27212
3.03, 14.2601, -0.535261, -3.23857
3.04, 14.2544, -0.567647, -3.20499
3.05, 14.2484, -0.599697, -3.17138
3.06, 14.2421, -0.63141, -3.13775
3.07, 14.2355, -0.662788, -3.10409
3.08, 14.2286, -0.693829, -3.07042
3.09, 14.2213, -0.724533, -3.03673
3.1, 14.2138, -0.7549, -3.00304
3.11, 14.2059, -0.784931, -2.96934
3.12, 14.1978, -0.814624, -2.93564
3.13, 14.1893, -0.84398, -2.90194
3.14, 14.1806, -0.873, -2.86825
3.15, 14.1716, -0.901682, -2.83456
3.16, 14.1623, -0.930028, -2.80089
3.17, 14.1527, -0.958037, -2.76724
3.18, 14.1429, -0.985709, -2.73361
3.19, 14.1327, -1.01305, -2.70001
3.2, 14.1223, -1.04005, -2.66643
3.21, 14.1117, -1.06671, -2.63288
3.22, 14.1007, -1.09304, -2.59937
3.23, 14.0895, -1.11903, -2.5659
3.24, 14.0781, -1.14469, -2.53247
3.25, 14.0664, -1.17002, -2.49908
3.26, 14.0544, -1.19501, -2.46574
3.27, 14.0422, -1.21966, -2.43246
3.28, 14.0298, -1.24399, -2.39923
3.29, 14.0171, -1.26798, -2.36605
3.3, 14.0042, -1.29164, -2.33294
3.31, 13.9911, -1.31497, -2.29989
3.32, 13.9777, -1.33797, -2.26691
3.33, 13.9641, -1.36064, -2.234
3.34, 13.9502, -1.38298, -2.20117
3.35, 13.9362, -1.40499, -2.16841
3.36, 13.9219, -1.42667, -2.13572
3.37, 13.9074, -1.44803, -2.10312
3.38, 13.8928, -1.46906, -2.07061
3.39, 13.8779, -1.48977, -2.03818
3.4, 13.8628, -1.51015, -2.00584
3.41, 13.8474, -1.53021, -1.97359
3.42, 13.8319, -1.54995, -1.94144
3.43, 13.8163, -1.56936, -1.90939
3.44, 13.8004, -1.58845, -1.87743
3.45, 13.7843, -1.60723, -1.84558
3.46, 13.768, -1.62568, -1.81384
3.47, 13.7516, -1.64382, -1.7822
3.48, 13.735, -1.66164, -1.75067
3.49, 13.7182, -1.67915, -1.71926
3.5, 13.7012, -1.69634, -1.68796
3.51, 13.6841, -1.71322, -1.65678
3.52, 13.6668, -1.72979, -1.62571
3.53, 13.6493, -1.74605, -1.59477
3.54, 13.6317, -1.762, -1.56395
3.55, 13.6139, -1.77764, -1.53326
3.56, 13.596, -1.79297, -1.5027
3.57, 13.5779, -1.808, -1.47226
